发起实例,目标实例,互动次数
schmaker.eu,schmaker.eu,1
mastodon.online,mastodon.online,2388
godforsaken.website,godforsaken.website,5
chaosfem.tw,disabled.social,1
chaosfem.tw,kolektiva.social,9
chaosfem.tw,beige.party,9
chaosfem.tw,social.treehouse.systems,2
chaosfem.tw,mastodon.social,12
chaosfem.tw,queer.group,1
chaosfem.tw,journa.host,2
chaosfem.tw,dobbs.town,2
chaosfem.tw,dice.camp,3
chaosfem.tw,chaosfem.tw,47
chaosfem.tw,hellspawn.gay,2
mefi.social,mefi.social,3
social.xenofem.me,social.xenofem.me,112
social.xenofem.me,brain.worm.pink,9
detroitriotcity.com,mostr.pub,4
detroitriotcity.com,poa.st,64
idtech.space,idtech.space,1
idtech.space,meow.social,1
mastodon.triggerphra.se,mastodon.triggerphra.se,1
jorts.horse,jorts.horse,32
ottawa.place,ottawa.place,4
girlboss.gaslight.love,cawfee.club,3
girlboss.gaslight.love,ebiverse.social,10
girlboss.gaslight.love,clubcyberia.co,6
o3o.ca,o3o.ca,901
chaosfem.tw,hachyderm.io,9
nixeneko.info,nixeneko.info,2
spinster.xyz,alive.bar,3
computerfairi.es,computerfairi.es,4
socially.drinkingatmy.computer,clubcyberia.co,3
detroitriotcity.com,yggdrasil.social,3
stoat.zone,stoat.zone,3
socially.drinkingatmy.computer,shitpost.cloud,2
socially.drinkingatmy.computer,mitra.taihou.website,2
mastodon.world,mastodon.world,816
hachyderm.io,hachyderm.io,672
clew.lol,poa.st,64
mastodonczech.cz,mastodonczech.cz,17
ak.ari.lt,wetdry.world,3
ak.ari.lt,sk.unix.dog,3
mastodonapp.uk,mastodonapp.uk,263
universeodon.com,universeodon.com,189
m.ai6yr.org,m.ai6yr.org,83
me.dm,me.dm,8
eientei.org,eientei.org,36
eientei.org,varishangout.net,7
eientei.org,clubcyberia.co,66
troet.cafe,troet.cafe,551
techpolicy.social,techpolicy.social,2
onlinedo.alcateia.info,onlinedo.alcateia.info,2
ak.kazuma.family,ak.kazuma.family,1
ak.kazuma.family,outerheaven.club,3
ak.kazuma.family,mewmew.moe,1
newsie.social,newsie.social,33
zirk.us,zirk.us,14
shitposter.world,norwoodzero.net,3
climatejustice.social,climatejustice.social,21
shitposter.world,poa.st,40
shitposter.world,shitposter.world,159
shitposter.world,declin.eu,1
shitposter.world,fedi.layer02.net,8
shitposter.world,nicecrew.digital,23
shitposter.world,mk.absturztau.be,1
shitposter.world,pl.kotobank.ch,1
shitposter.world,mai.waifuism.life,5
shitposter.world,cawfee.club,7
shitposter.world,clubcyberia.co,18
pol.social,pol.social,8
shitposter.world,fedi.furfag.biz,1
mastodon.de,ard.social,3
mastodon.de,sfba.social,3
mastodon.de,beige.party,1
mastodon.de,mastodon.de,15
mastodon.de,social.v.st,1
mastodon.de,mastodon.nz,1
netzsphaere.xyz,cawfee.club,4
netzsphaere.xyz,netzsphaere.xyz,132
netzsphaere.xyz,brain.worm.pink,12
netzsphaere.xyz,fedi.layer02.net,10
shitpost.cloud,poa.st,43
shitpost.cloud,nicecrew.digital,19
netzsphaere.xyz,girlboss.gaslight.love,42
fedi.sillybiz.xyz,fedi.sillybiz.xyz,1
ioc.exchange,ioc.exchange,20
trombas.vost.pt,trombas.vost.pt,1
soc.feditime.com,io.mwl.io,1
spinster.xyz,freeatlantis.com,2
ohai.social,ohai.social,47
retro.pizza,retro.pizza,261
decayable.ink,poa.st,245
genealysis.social,genealysis.social,1
c.im,c.im,102
mastodon.top,mastodon.top,112
freeradical.zone,freeradical.zone,19
mastodonsweden.se,mastodonsweden.se,19
trpg-o.xyz,trpg-o.xyz,31
netzsphaere.xyz,freeatlantis.com,2
mastodon.antisocial.science,mastodon.antisocial.science,1
botany.social,botany.social,9
dica.interfel.de,mstdn.social,1
dica.interfel.de,www.thenewsocial.de,1
fedi.5013.es,fedi.5013.es,1
mamuti.ieleja.lv,mamuti.ieleja.lv,6
interledger.social,interledger.social,1
masto.ai,masto.ai,154
social.coop,social.coop,32
hessen.social,hessen.social,14
ursal.zone,ursal.zone,20
chaosfem.tw,masto.ai,2
wank.social,wank.social,25
detroitriotcity.com,nicecrew.digital,27
social.silicon.moe,social.silicon.moe,4
social.stefanberger.net,social.stefanberger.net,2
imastodon.net,imastodon.net,123
planet.moe,planet.moe,913
peoplemaking.games,peoplemaking.games,5
blob.love,blob.love,8
mathstodon.xyz,mathstodon.xyz,40
social.lol,social.lol,28
zug.network,zug.network,45
veoh.social,veoh.social,1
unfug.social,unfug.social,1
salmonjerky.net,salmonjerky.net,1
mastodon.white-void.net,mastodon.white-void.net,2
ms.obak-key.com,ms.obak-key.com,7
flipping.rocks,flipping.rocks,10
submarin.online,submarin.online,18
misskey.peruki.dev,misskey.peruki.dev,1
ma.fono.jp,ma.fono.jp,2
mastodon.crazynewworld.net,mastodon.crazynewworld.net,29
mstdn.ca,follow.ethanmarcotte.com,1
mstdn.ca,mstdn.ca,1385
mstdn.ca,mstdn.ryanrobinson.ca,2
mstdn.ca,mastodon.social,666
mstdn.ca,bsky.brid.gy,8
greenish.red,lor.sh,1
greenish.red,linuxrocks.online,2
mamot.fr,mamot.fr,548
social.vivaldi.net,social.vivaldi.net,688
toot.community,toot.community,9
paquita.masto.host,paquita.masto.host,137
blorbo.social,blorbo.social,87
rivals.space,rivals.space,38
social.openrightsgroup.org,social.openrightsgroup.org,3
crossdon.com,crossdon.com,9
mstdn.poyo.me,mstdn.poyo.me,1
mstdn.plusminus.io,mstdn.plusminus.io,1
lotuskey.net,lotuskey.net,3
ukadon.shillest.net,ukadon.shillest.net,10
skaya.ligun.net,skaya.ligun.net,3
mstdn.guru,mstdn.guru,11
upload.chat,upload.chat,2
nrw.social,nrw.social,106
social.gibiris.org,wandering.shop,2
social.gibiris.org,social.gibiris.org,1
fnordon.de,fnordon.de,22
fidget.place,fidget.place,1
mastorol.es,mastorol.es,5
shelter.moe,shelter.moe,27
brain.worm.pink,brain.worm.pink,128
bassam.social,bassam.social,9
brain.worm.pink,boymilk.cafe,2
chaos.social,chaos.social,799
social.emarhavil.com,recurse.social,1
brain.worm.pink,wetdry.world,7
zeal.center,zeal.center,2
toot.cat,toot.cat,40
yourwalls.today,yourwalls.today,36
mastodon.art,mastodon.art,471
mastodon.ie,mastodon.ie,138
mainburg.hallertau.social,mainburg.hallertau.social,1
girlboss.gaslight.love,stereophonic.space,1
girlboss.gaslight.love,girlboss.gaslight.love,20
sueden.social,sueden.social,21
sfba.social,sfba.social,220
mstdn.ca,tech.lgbt,29
mstdn.ca,beige.party,285
mstdn.ca,mastodon.online,85
mstdn.ca,thepit.social,13
mstdn.ca,caneandable.social,46
mstdn.ca,octodon.social,12
