实例ID,内部回复数,内部转发数,内部点赞数,内部互动总数,跨实例主动回复数,跨实例主动转发数,跨实例主动点赞数,跨实例主动互动总数,跨实例被动回复数,跨实例被动转发数,跨实例被动点赞数,跨实例被动互动总数,跨实例总互动数
machikadon.online,0,6,9,15,0,19,22,41,0,12,29,41,82
monado.ren,0,0,0,0,0,0,0,0,0,8,215,223,223
metalverse.social,0,0,0,0,0,4,16,20,0,0,0,0,20
inductive.space,0,0,0,0,0,0,16,16,0,0,0,0,16
ddoskey.com,0,0,0,0,0,39,9,48,0,0,0,0,48
omfg.town,0,0,0,0,0,1,3,4,0,5,20,25,29
nheko.io,0,0,0,0,0,38,67,105,0,0,0,0,105
net.megmer.net,0,0,0,0,0,0,0,0,0,0,1,1,1
mi.0il.pw,0,0,0,0,0,1,0,1,0,0,0,0,1
mascodon.jp,0,0,8,8,0,1,8,9,0,2,12,14,23
masto.asonix.dog,0,0,0,0,0,0,101,101,0,0,0,0,101
social.apcn.nz,0,0,0,0,0,45,67,112,0,0,0,0,112
raki.club,0,0,0,0,0,1,10,11,0,0,0,0,11
social.freedombits.org,0,0,0,0,0,0,0,0,0,0,1,1,1
social.datalust.co,0,0,0,0,0,0,0,0,0,2,2,4,4
social.froonix.org,0,0,0,0,0,7,43,50,0,0,0,0,50
saint-paul.us,0,0,0,0,0,1,0,1,0,0,0,0,1
social.theova.org,0,0,0,0,0,0,1,1,0,0,0,0,1
social.darksky.app,0,0,0,0,0,7,8,15,0,1,7,8,23
snac2.fedifolio.com,0,0,0,0,0,2,2,4,0,0,0,0,4
xn--ratatskr-r4a.de,0,0,0,0,0,2,3,5,0,0,0,0,5
social.in-purple.de,0,0,0,0,0,4,6,10,0,0,0,0,10
social.jlamothe.net,0,0,0,0,2,1,0,3,0,0,3,3,6
ak.kyaruc.moe,0,0,0,0,0,5,4,9,26,0,0,26,35
social.5f9.de,0,0,0,0,0,1,2,3,0,0,0,0,3
mstdn.m3press.jp,0,1,0,1,0,0,1,1,0,1,3,4,5
mastodon.podycust.co.uk,0,0,0,0,0,0,1,1,0,0,0,0,1
blovice.bahnhof.cz,0,0,0,0,0,0,6,6,7,0,0,7,13
www.gayonly.ch,0,0,0,0,0,28,10,38,0,0,0,0,38
don.nekoport.com,0,0,0,0,0,0,1,1,0,0,0,0,1
social.g2od.ch,0,0,0,0,0,0,185,185,0,2,6,8,193
sns.dougetsusha.com,1,0,0,1,0,0,2,2,0,26,28,54,56
mastodon.wssmagazine.com,0,0,1,1,0,0,5,5,0,11,24,35,40
status.kinlan.me,0,0,0,0,0,0,4,4,0,0,1,1,5
leanside.org,0,0,0,0,0,0,6,6,0,0,0,0,6
rawr.sillydragon.ca,0,0,0,0,2,0,0,2,0,0,0,0,2
awscommunity.social,3,1,0,4,0,359,482,841,6,70,87,163,1004
mastodon.xolus.net,0,0,0,0,0,3,0,3,0,0,0,0,3
techfieldday.net,0,0,0,0,0,6,14,20,0,0,3,3,23
omusubi.ayarika.com,0,0,0,0,0,0,4,4,0,0,0,0,4
msk.canor.kr,0,0,0,0,0,8,1,9,0,0,0,0,9
trpg-o.xyz,31,37,37,105,0,100,207,307,0,177,107,284,591
fullgravity.nylarea.com,0,0,0,0,0,1,3,4,0,0,0,0,4
neurodifferent.me,0,0,0,0,0,60,223,283,2,0,7,9,292
mrdiamondj.social,0,0,0,0,0,0,5,5,0,0,2,2,7
hwang.me.uk,0,0,0,0,0,0,1,1,0,5,10,15,16
mastodon.ericlathrop.com,0,0,0,0,0,10,283,293,0,0,0,0,293
kwak.cab,0,0,0,0,0,7,5,12,0,0,0,0,12
social.plux.wtf,0,0,0,0,0,1,1,2,0,0,0,0,2
social.dssc.io,0,0,0,0,0,10,14,24,0,0,0,0,24
bend.town,0,0,0,0,0,0,1,1,0,0,0,0,1
blabber.lu-rp.net,0,0,3,3,0,0,0,0,0,0,0,0,0
mastodon.vaporghost.at,0,0,0,0,0,1,3,4,0,2,0,2,6
floe.earth,0,0,0,0,0,0,0,0,0,0,1,1,1
coolmathgam.es,0,0,0,0,0,0,1,1,0,1,6,7,8
mastodon.timnolte.com,0,0,0,0,0,3,5,8,0,0,0,0,8
toot.sosh.co.uk,0,0,0,0,0,0,1,1,0,0,10,10,11
flausch.social,0,0,0,0,0,9,53,62,0,0,0,0,62
javisst.space,0,0,0,0,0,1,3,4,0,0,0,0,4
konfigurationsmanufaktur.de,0,0,0,0,0,1,9,10,0,0,24,24,34
blop.social,0,0,0,0,0,5,5,10,0,8,9,17,27
reclaim.rocks,0,0,0,0,0,0,0,0,0,2,0,2,2
higher-edu.social,2,0,1,3,0,22,17,39,0,1,1,2,41
liveplatform.ca,0,0,0,0,0,0,0,0,0,0,2,2,2
byeolvit.space,0,0,0,0,0,1,0,1,0,0,0,0,1
m6n.onsen.tech,0,0,0,0,0,2,3,5,0,8,8,16,21
legal.social,0,0,2,2,0,157,70,227,0,75,107,182,409
slime.global,0,0,0,0,0,7,114,121,0,0,0,0,121
masto.gregnewman.io,1,0,0,1,0,1,23,24,0,2,5,7,31
voi.social,0,0,0,0,0,3,26,29,0,0,3,3,32
10mb.social,0,0,0,0,0,9,19,28,0,0,0,0,28
benehomini.social,0,0,0,0,0,3,6,9,0,0,0,0,9
masto.masto.com,0,0,0,0,0,0,3,3,0,0,0,0,3
corteximplant.net,8,0,3,11,10,96,143,249,0,2,38,40,289
tiny.tilde.website,0,0,0,0,0,87,238,325,1,0,0,1,326
f-ckendehoelle.de,0,1,1,2,0,67,32,99,0,0,2,2,101
shota.house,0,0,0,0,0,21,94,115,13,0,0,13,128
social.rossabaker.com,1,0,0,1,0,0,2,2,0,12,32,44,46
ki6bjv.social,0,0,0,0,0,1,10,11,0,0,0,0,11
lediva.masto.host,0,0,0,0,0,2,30,32,0,0,0,0,32
fundraising.social,0,0,1,1,0,1,0,1,0,0,1,1,2
tooting.ch,0,0,4,4,0,399,703,1102,0,10,22,32,1134
beepboop.one,0,0,0,0,0,8,1,9,0,0,0,0,9
live-theater.net,0,0,0,0,0,310,652,962,0,0,0,0,962
social.dos-dingos.com,0,0,0,0,0,0,3,3,0,0,0,0,3
nullio.net,0,0,0,0,0,0,2,2,0,0,0,0,2
bookrastinating.com,0,0,0,0,0,1,0,1,0,0,0,0,1
agora.echelon.pl,0,0,0,0,3,21,17,41,1,5,17,23,64
social.vegan.im.it,0,0,0,0,0,1,1,2,0,0,0,0,2
mastodon.ddcloud.info,0,0,0,0,0,1,0,1,0,0,0,0,1
unfed.eenoog.org,0,0,0,0,0,0,1,1,0,0,0,0,1
pleroma.breizh.pm,2,0,0,2,2,51,1,54,3,0,1,4,58
kotobaphil-mtdn.eu,3,4,34,41,0,131,394,525,0,26,65,91,616
minitel.cloud,0,0,0,0,0,7,50,57,0,0,0,0,57
canada.masto.host,2,3,0,5,0,102,96,198,2,9,3,14,212
fedi.dysphoric.space,0,0,0,0,0,9,108,117,0,0,0,0,117
e.fo,0,0,2,2,0,0,0,0,0,102,0,102,102
akkoma.andho.xyz,0,0,0,0,0,1,1,2,0,0,0,0,2
dizl.de,0,0,0,0,0,202,213,415,0,16,9,25,440
seo.chat,0,0,0,0,0,7,10,17,0,0,1,1,18
ajin.la,0,0,0,0,0,6,1,7,0,0,0,0,7
olching.social,0,0,0,0,0,5,0,5,0,0,1,1,6
mastodon.pirateparty.be,0,0,0,0,0,67,68,135,0,0,0,0,135
mastodon.pnpde.social,0,1,11,12,0,723,485,1208,0,7,40,47,1255
mastodon.indie.host,0,0,0,0,0,4,8,12,0,1,1,2,14
emacs.ch,0,0,0,0,0,14,14,28,0,1,0,1,29
lotor.network,0,0,0,0,0,0,3,3,0,0,0,0,3
norden.social,303,1199,4635,6137,0,8320,18794,27114,14,7158,18462,25634,52748
mastodon.otherworldsink.com,0,0,0,0,0,5,34,39,0,9,39,48,87
sharknado.tombies.eu,0,0,0,0,0,16,65,81,0,0,0,0,81
stonerkitty.monster,0,0,0,0,0,7,8,15,0,0,0,0,15
forall.social,0,0,0,0,0,63,43,106,1,0,0,1,107
freaknik.vip,0,0,0,0,0,0,0,0,0,0,2,2,2
snac.snowyhills.xyz,0,0,0,0,0,2,2,4,0,0,0,0,4
gn2.social,0,0,0,0,0,1,2,3,0,0,0,0,3
bluelupine.social,0,0,0,0,0,7,4,11,0,0,0,0,11
nakano.network,0,0,0,0,0,0,2,2,0,0,0,0,2
plural.masdivago.cc,0,0,0,0,0,0,3,3,1,0,0,1,4
feds.praxor.wtf,0,0,0,0,0,1,2,3,0,0,0,0,3
lowkey.zone,0,0,0,0,0,0,8,8,0,0,6,6,14
social.perspective-daily.de,0,1,1,2,0,1,1,2,0,1,3,4,6
my.talesofmy.life,0,0,0,0,0,2,7,9,0,0,0,0,9
mi.nakn.jp,0,0,0,0,0,7,27,34,1,0,0,1,35
digineko.net,0,0,0,0,0,0,2,2,0,0,0,0,2
queer.witchli.eu,0,0,0,0,0,2,2,4,0,0,0,0,4
social.maraval.net,0,0,0,0,0,1,4,5,0,0,0,0,5
mastodon.mlsn.fr,0,0,0,0,0,0,46,46,0,2,6,8,54
windbag.org,0,0,0,0,0,6,26,32,0,0,0,0,32
somewhy.net,0,0,0,0,0,5,26,31,0,0,0,0,31
kodow.net,0,0,0,0,0,17,1,18,0,0,0,0,18
social.subversida.de,0,0,0,0,0,17,34,51,0,0,0,0,51
dudes.keinpfusch.net,0,0,0,0,0,21,3,24,0,0,0,0,24
gs.leftic.club,0,0,0,0,0,91,3,94,0,0,0,0,94
topspicy.social,0,0,0,0,0,126,318,444,0,0,0,0,444
colloquium.social,0,0,1,1,0,0,0,0,0,0,0,0,0
recsys.social,0,0,1,1,0,2,68,70,0,0,2,2,72
newan.net,0,0,0,0,0,1,2,3,0,0,0,0,3
fatlads.lol,0,0,0,0,0,0,3,3,1,0,0,1,4
hapyyr.com,0,0,0,0,0,3,3,6,0,1,1,2,8
mstdn.chrisalemany.ca,0,0,0,0,0,70,82,152,21,0,0,21,173
unfug.social,1,0,2,3,0,24,115,139,1,1,3,5,144
unstable.systems,0,0,0,0,0,7,51,58,0,0,0,0,58
chat.kagu-tsuchi.com,0,0,0,0,0,1,12,13,0,0,0,0,13
f451.page,0,0,0,0,0,0,1,1,0,0,0,0,1
moist.catsweat.com,0,0,0,0,0,0,1,1,0,0,0,0,1
interledger.social,1,0,0,1,0,1,0,1,0,0,0,0,1
mstdn.bdms.ca,0,0,0,0,0,0,1,1,0,0,7,7,8
federate.blogpocket.com,0,0,0,0,0,6,6,12,0,1,2,3,15
social.lkw.tf,0,0,0,0,0,0,1,1,0,0,0,0,1
starside.social,9,0,0,9,0,9,29,38,0,1,12,13,51
m.skyblond.info,1,1,0,2,0,1,4,5,0,0,0,0,5
magpie.gay,0,0,0,0,0,1,3,4,0,0,0,0,4
rubberchicken.social,0,0,0,0,0,1,2,3,0,0,0,0,3
social.intothecloud.net,0,1,1,2,0,1,10,11,0,2,7,9,20
c64.social,0,0,0,0,0,5,3,8,0,0,0,0,8
aisler.social,1,0,0,1,0,2,3,5,0,1,13,14,19
inumimi.love,0,0,0,0,0,16,12,28,0,0,0,0,28
glammr.us,6,4,6,16,0,299,623,922,1,53,98,152,1074
mastodon.nycmesh.net,0,1,0,1,0,0,1,1,0,0,0,0,1
machteburch.social,1,0,6,7,0,131,419,550,0,2,14,16,566
takeo.social,0,0,0,0,0,1,2,3,0,0,2,2,5
nodespace.social,0,0,0,0,0,1,0,1,0,0,2,2,3
mastodon.blip.rocklin.dev,0,0,0,0,0,0,2,2,0,0,0,0,2
fedi.esgeroth.org,0,0,0,0,0,3,0,3,0,0,0,0,3
m.quaoar.xyz,0,0,0,0,0,2,41,43,0,0,0,0,43
social.caruso.one,0,0,0,0,1,0,4,5,0,0,0,0,5
urusai.social,20,13,37,70,0,395,731,1126,0,39,106,145,1271
ruud.social,0,0,0,0,0,0,1,1,0,0,0,0,1
s.kudomaru.com,0,0,0,0,0,8,1,9,0,0,0,0,9
ojousama-tea.party,1,0,0,1,0,0,0,0,0,0,0,0,0
p.changeme.fr.eu.org,0,0,0,0,0,0,1,1,0,0,0,0,1
me.dm,8,2,14,24,0,344,526,870,3,113,151,267,1137
techdon.dev,0,0,0,0,0,1,0,1,0,0,0,0,1
mastodon.lermer.nl,0,0,0,0,0,2,0,2,0,0,0,0,2
soc.hotolab.win,0,0,0,0,0,1,0,1,0,0,0,0,1
climatejustice.global,11,3,2,16,0,107,102,209,0,103,47,150,359
infosec.space,0,0,0,0,0,94,1127,1221,0,0,0,0,1221
pixelfed.eu,0,0,0,0,0,2,12,14,0,0,0,0,14
kawane.misskey.online,0,0,0,0,0,3,0,3,0,0,0,0,3
solarpunk.moe,5,2,9,16,0,137,105,242,1,3,51,55,297
f.e4.pm,0,0,0,0,0,0,1,1,0,0,0,0,1
pont-bl.eu.org,0,0,0,0,0,0,3,3,0,0,0,0,3
social.netz.org,0,0,0,0,0,0,1,1,0,0,0,0,1
fedi.xwyqi.org,0,0,0,0,0,16,21,37,0,0,0,0,37
sphorb.social,0,0,0,0,0,5,11,16,0,0,0,0,16
mivox.net,0,0,0,0,0,19,39,58,0,1,1,2,60
hi.lysianth.us,1,0,0,1,0,7,6,13,0,0,6,6,19
social.linuxistcool.de,0,0,0,0,0,0,10,10,0,0,0,0,10
fedi.freakshit.org,0,0,0,0,0,104,104,208,1,0,0,1,209
toot.majorshouse.com,0,0,0,0,0,44,12,56,0,0,0,0,56
cyberspace.rodeo,0,0,0,0,0,4,11,15,0,0,0,0,15
mastodon.laurakalbag.com,0,0,0,0,0,0,0,0,0,8,12,20,20
fedi.odahoda.de,0,0,0,0,0,0,21,21,0,0,0,0,21
is.corite.dev,0,0,0,0,0,1,6,7,0,0,0,0,7
mastodon.tails.ch,8,1,3,12,0,3,10,13,0,1,9,10,23
gotf.at,1,0,0,1,1,5,8,14,0,1,7,8,22
gearlandia.haus,29,15,34,78,54,11,25,90,6,42,93,141,231
soc.kouett.net.eu.org,0,1,0,1,0,4,81,85,1,82,274,357,442
social.dromografos.report,0,0,0,0,0,45,11,56,0,0,0,0,56
social.tulsa.ok.us,2,0,0,2,0,170,275,445,0,3,4,7,452
spookykitties.com,0,0,0,0,0,13,19,32,0,0,0,0,32
introvert.social,0,0,0,0,0,0,15,15,0,0,1,1,16
fedicy.us.to,0,0,0,0,0,2,1,3,0,0,0,0,3
luv.cunnyborea.space,0,0,0,0,0,9,18,27,0,0,0,0,27
akko.gay-garden.no,1,0,1,2,0,0,0,0,0,0,0,0,0
meow.lgbt,0,0,0,0,0,15,67,82,0,0,0,0,82
toot.cairobraga.com,0,0,0,0,0,18,0,18,0,0,0,0,18
terere.social,0,0,0,0,0,5,2,7,0,0,0,0,7
antisocialsocialnetwork.it,0,0,0,0,0,0,2,2,0,0,1,1,3
mastodon.flying-snail.de,0,0,0,0,0,0,21,21,0,0,0,0,21
friends.librescrum.org,0,1,0,1,1,9,9,19,0,2,5,7,26
howse.social,0,0,0,0,0,1,0,1,0,0,0,0,1
an.errant.cloud,1,0,0,1,0,0,11,11,0,0,0,0,11
social.translunar.academy,0,0,0,0,0,97,286,383,4,0,0,4,387
whisper.tf,0,0,0,0,0,6,0,6,0,0,0,0,6
osna.social,0,0,3,3,0,301,93,394,0,0,1,1,395
social.creatureofthehill.com,0,0,0,0,0,3,3,6,0,0,0,0,6
mk.shrimpia.network,0,0,0,0,0,2,23,25,0,0,0,0,25
23.illuminati.org,0,0,0,0,0,0,1,1,0,0,0,0,1
sportsbots.xyz,0,0,0,0,0,0,0,0,14,0,0,14,14
mastodon.internet-czas-dzialac.pl,0,0,0,0,0,8,13,21,0,4,2,6,27
higgy.social,1,0,0,1,0,1,10,11,0,0,2,2,13
be-lieve.hostdon.ne.jp,0,0,0,0,0,32,6,38,0,0,0,0,38
normal.style,3,9,12,24,0,35,41,76,0,179,350,529,605
miniwa.moe,5,0,0,5,1,84,58,143,0,0,0,0,143
u222news.fedicity.net,0,0,0,0,0,0,0,0,0,0,1,1,1
toots.cordelya.net,0,0,0,0,0,0,6,6,0,0,0,0,6
tree0f.life,0,0,0,0,0,0,1,1,0,0,0,0,1
pl.ijs01140.dev,0,0,0,0,0,8,9,17,0,0,0,0,17
lilienthal.social,0,0,0,0,0,0,2,2,0,0,0,0,2
notnull.space,0,0,0,0,0,7,10,17,0,0,0,0,17
don.taprix.org,0,0,0,0,0,2,0,2,0,0,0,0,2
social.losno.co,1,0,0,1,0,5,4,9,0,0,0,0,9
woolly.monster,0,0,0,0,0,0,2,2,0,0,0,0,2
mstdn.fedi.kirigiri.me,0,0,0,0,0,0,7,7,0,0,0,0,7
federation.network,0,0,0,0,0,295,690,985,0,0,0,0,985
joshbutts.social,0,0,0,0,0,0,0,0,0,1,2,3,3
blog.housewayreth.org,0,0,0,0,0,1,4,5,0,4,8,12,17
social.matarillo.com,3,0,0,3,0,0,0,0,0,0,0,0,0
toot.community,9,1,10,20,0,3062,5125,8187,7,214,470,691,8878
social.codigoparallevar.com,0,0,0,0,0,3,9,12,0,0,0,0,12
social.drastical.tech,0,0,0,0,0,2,0,2,0,6,12,18,20
sn.dbdo.website,0,0,0,0,0,3,10,13,0,0,0,0,13
social.riversouldiers.dk,0,0,0,0,0,10,17,27,0,0,3,3,30
masto.mtcrew.org,0,0,0,0,0,0,0,0,0,6,2,8,8
mastodon.melroy.org,0,0,0,0,0,1,13,14,0,0,0,0,14
serenityos.social,0,0,0,0,0,1,5,6,0,0,1,1,7
stranger.social,0,7,11,18,0,662,704,1366,14,63,76,153,1519
omemoji.net,0,0,0,0,0,0,0,0,0,1,0,1,1
sanguinem.space,0,0,0,0,0,1,1,2,0,0,0,0,2
social.opendesktop.org,0,0,0,0,0,0,6,6,0,0,1,1,7
stereodon.social,0,0,0,0,0,3,20,23,0,0,2,2,25
fedi.gerwitz.com,0,0,0,0,0,1,0,1,0,0,0,0,1
soc.nym.se,0,0,0,0,0,0,1,1,0,2,10,12,13
social.xaq.cz,0,0,0,0,0,0,1,1,0,0,0,0,1
nottyboi.me,0,0,0,0,0,3,3,6,0,0,0,0,6
rebelbase.site,0,0,0,0,1,4,2,7,0,3,7,10,17
social.portertech.ca,0,0,0,0,0,0,4,4,0,0,0,0,4
b055-197-211-61-144.ngrok-free.app,0,0,0,0,0,0,1,1,0,0,0,0,1
hear-me.social,0,1,1,2,0,389,469,858,10,50,75,135,993
s.voxint.net,0,0,0,0,0,0,4,4,0,0,0,0,4
craftodon.social,0,0,0,0,0,6,5,11,0,0,0,0,11
mwtaylor.social,1,0,0,1,0,0,0,0,0,0,2,2,2
mikuobsession.net,2,1,3,6,1,0,1,2,0,66,115,181,183
mastodon.offerman.com,1,0,0,1,0,1,0,1,0,2,1,3,4
mastodon.raykoworld.com,0,0,0,0,0,3,5,8,0,0,0,0,8
social.hardfork.ngo,1,0,0,1,0,0,0,0,0,0,1,1,1
derekmartinorg.network.thedoodleproject.net,0,0,0,0,0,1,2,3,0,0,0,0,3
koko.micenest.xyz,0,0,0,0,0,6,9,15,0,0,0,0,15
piggo.space,1,0,0,1,6,0,3,9,0,0,4,4,13
oraclearm.nsupdate.info,0,0,0,0,0,1,1,2,0,0,0,0,2
mastodon.dustinwilson.com,0,0,0,0,0,4,7,11,0,0,0,0,11
toot.morikka.me,0,0,0,0,0,0,0,0,0,0,4,4,4
fdv.jyrgi.de,0,0,0,0,0,9,8,17,0,0,0,0,17
hi.fabis.cafe,0,0,0,0,0,11,12,23,0,0,0,0,23
kryptopraktik.se,0,0,0,0,0,1,2,3,0,0,17,17,20
nton.cx,0,0,0,0,0,1,1,2,1,0,0,1,3
social.numerique.gouv.fr,0,1,4,5,0,3,6,9,0,167,117,284,293
aklp.club,0,0,0,0,3,0,5,8,0,0,1,1,9
pub.communistparty.org.uk,0,0,0,0,0,2,0,2,0,0,0,0,2
upallnight.minnix.dev,0,0,0,0,0,0,0,0,0,0,6,6,6
masto.ahlcode.fi,0,0,0,0,0,6,5,11,0,2,6,8,19
noxon.cc,0,0,0,0,0,4,79,83,0,0,4,4,87
rsngrtn.fyi,0,0,0,0,0,4,0,4,0,43,51,94,98
chasmcity.net,0,0,0,0,0,8,7,15,0,0,0,0,15
uwyn.net,1,0,0,1,0,0,2,2,0,1,0,1,3
social.gerbet.me,0,0,0,0,0,1,1,2,0,0,0,0,2
social.hacktheplanet.be,0,0,0,0,0,3,5,8,0,0,1,1,9
calculate.social,0,0,0,0,0,0,1,1,0,0,3,3,4
quarium.xyz,0,0,2,2,0,0,2,2,0,0,0,0,2
nya.lemonade.moe,0,0,0,0,0,0,0,0,0,11,49,60,60
mstdn.ikebuku.ro,0,0,0,0,0,3,0,3,0,1,3,4,7
m.ai6yr.org,83,84,204,371,0,267,975,1242,20,761,1167,1948,3190
puppybear.social,0,0,0,0,0,0,3,3,0,0,0,0,3
mstdn.zoner.work,0,0,0,0,0,0,3,3,0,0,4,4,7
mastodon.frl,0,0,0,0,0,5,25,30,0,0,0,0,30
douban.city,0,0,0,0,0,0,16,16,0,0,0,0,16
bluecoat.social,0,0,0,0,0,0,0,0,0,0,1,1,1
halo.nu,0,0,0,0,0,0,0,0,0,103,13,116,116
niscii.xyz,0,0,0,0,0,2,4,6,0,0,0,0,6
puzich.social,2,0,0,2,0,0,2,2,0,0,0,0,2
oliphaunt.social,0,0,1,1,0,8,55,63,0,0,1,1,64
social.vrutkovs.eu,0,0,0,0,0,0,4,4,0,0,0,0,4
