实例ID,内部回复数,内部转发数,内部点赞数,内部互动总数,跨实例主动回复数,跨实例主动转发数,跨实例主动点赞数,跨实例主动互动总数,跨实例被动回复数,跨实例被动转发数,跨实例被动点赞数,跨实例被动互动总数,跨实例总互动数
shirtless.gay,0,0,0,0,0,3,14,17,0,0,0,0,17
micro.jacksonchen666.com,0,0,0,0,0,18,65,83,0,0,0,0,83
reddthat.com,0,0,0,0,0,1,0,1,0,0,0,0,1
social.adlerhorst.net,0,0,0,0,0,1,2,3,0,0,0,0,3
paws.press,0,0,0,0,0,0,3,3,0,0,0,0,3
mstdn.anchel.nl,0,0,0,0,0,3,6,9,0,1,0,1,10
djsumdog.com,0,0,0,0,18,0,8,26,2,2,22,26,52
holonet.imperialba.se,0,0,0,0,0,5,7,12,0,0,5,5,17
mastodon.allnutt.net,0,0,0,0,0,1,0,1,0,0,0,0,1
mi.tsujigoya.net,0,0,0,0,0,4,14,18,0,0,0,0,18
foxylo.xyz,0,0,0,0,1,0,0,1,0,0,1,1,2
social.jesuislibre.net,0,0,0,0,0,19,0,19,0,0,0,0,19
social.bbc,0,0,0,0,0,0,0,0,0,74,124,198,198
social.synacek.org,0,0,0,0,0,0,2,2,0,1,0,1,3
ꩰ.com,0,0,0,0,0,0,0,0,0,7,15,22,22
d-64.social,6,7,32,45,0,77,201,278,1,5,30,36,314
frawas.de,0,0,0,0,0,1,0,1,0,0,0,0,1
collapsible.systems,0,0,0,0,0,20,52,72,0,0,1,1,73
darkfriend.social,0,0,1,1,0,22,32,54,0,2,13,15,69
fed.sfl.pro.br,0,0,0,0,0,6,1,7,0,0,0,0,7
der.cyberterror.ist,0,0,0,0,0,12,14,26,0,0,0,0,26
mastodon.derg.nz,0,0,0,0,0,10,83,93,0,0,4,4,97
masto.endolexis.com,0,0,0,0,0,8,31,39,0,0,0,0,39
unam.social,0,0,0,0,0,7,4,11,0,0,0,0,11
soc.rnrd.eu,0,0,0,0,2,0,4,6,0,0,0,0,6
social.nancengka.com,0,0,0,0,0,155,36,191,0,0,0,0,191
mstdn.ch,0,0,0,0,0,1,3,4,0,0,0,0,4
y.diskcat.com,0,0,0,0,0,7,71,78,0,3,15,18,96
social.collectivemoo.net,0,0,0,0,0,54,123,177,0,0,0,0,177
fairly.social,0,0,0,0,0,0,4,4,0,0,0,0,4
posts.rat.pictures,0,0,0,0,0,0,7,7,2,0,0,2,9
hendike.co.uk,0,0,0,0,0,0,109,109,0,0,0,0,109
telefant.net,0,0,0,0,0,6,15,21,0,0,0,0,21
mastodon.free-solutions.org,0,2,0,2,0,48,10,58,0,0,1,1,59
mayhem.academy,0,0,0,0,0,3,3,6,0,0,0,0,6
social.pneumasolutions.com,0,0,0,0,0,0,0,0,0,19,4,23,23
aana.site,0,0,3,3,0,1,3,4,0,1,4,5,9
kirakiratter.com,3,14,236,253,0,0,1,1,0,2,7,9,10
mastodon.vanlife.is,0,0,0,0,0,0,0,0,0,1,0,1,1
japix.schuerz.at,0,0,0,0,0,2,9,11,0,0,0,0,11
mstdn.mx,8,10,62,80,0,122,567,689,1,19,53,73,762
fedi.xaloc.space,0,0,0,0,1,0,0,1,0,0,1,1,2
hlad.org,0,0,0,0,3,0,13,16,0,0,2,2,18
social.micair.de,0,0,0,0,0,1,0,1,0,0,0,0,1
misskey.04.si,2,0,0,2,0,2,8,10,0,0,0,0,10
plrm.podcastalot.com,0,0,0,0,1,1,2,4,0,0,4,4,8
woods.secretbearsociety.org,0,0,0,0,0,7,6,13,0,0,0,0,13
sk.szkod.ovh,0,0,0,0,0,1,11,12,0,0,0,0,12
mastodon.pirati.cz,1,0,0,1,0,12,38,50,0,0,9,9,59
pixelfed.de,0,0,0,0,0,162,3351,3513,3,0,0,3,3516
computermuseum.social,0,0,0,0,0,0,1,1,0,0,0,0,1
fedi.cr-net.be,0,0,0,0,0,37,21,58,0,0,0,0,58
subculture.chat,0,0,0,0,0,0,1,1,0,4,38,42,43
mytoot.de,0,0,0,0,0,1,1,2,0,0,0,0,2
social.holovaty.com,0,0,0,0,0,0,7,7,0,0,0,0,7
birb.site,0,0,0,0,0,23,108,131,0,0,0,0,131
higheredweb.social,0,0,0,0,0,4,8,12,0,0,2,2,14
bikersgo.social,0,0,0,0,0,0,4,4,0,0,0,0,4
bbbdn.jp,5,0,5,10,0,0,3,3,0,0,5,5,8
housecat.space,0,0,0,0,0,12,16,28,1,0,0,1,29
mstdn.science,3,14,13,30,0,633,1401,2034,0,64,119,183,2217
social.anhgelus.world,0,0,0,0,0,9,3,12,0,0,0,0,12
mastodon.cooleysekula.net,0,0,0,0,0,1,2,3,0,1,5,6,9
mastodon.ryzizub.com,0,0,0,0,0,0,0,0,0,0,2,2,2
westergaard.social,0,0,0,0,0,1,4,5,0,0,0,0,5
yuri.garden,0,0,0,0,0,11,0,11,0,0,0,0,11
socel.net,6,38,32,76,0,973,879,1852,1,200,345,546,2398
dju.social,3,5,1,9,0,257,214,471,0,27,56,83,554
shmg.online,0,1,1,2,0,40,71,111,2,8,30,40,151
social.benjaminturner.me,0,0,0,0,0,0,1,1,0,0,0,0,1
sindicato.social,0,0,0,0,0,3,0,3,0,0,0,0,3
foody.social,1,0,0,1,0,0,0,0,0,1,3,4,4
bolha.us,0,7,12,19,0,135,365,500,0,16,51,67,567
fluffs.au,0,0,2,2,0,14,49,63,0,0,5,5,68
mstdn.massmist.net,0,0,0,0,0,1,2,3,0,0,0,0,3
reporter.social,0,2,0,2,0,86,24,110,0,72,68,140,250
mindly.social,0,0,0,0,0,2238,5619,7857,20,0,0,20,7877
mastodon.clipperz.is,0,2,1,3,0,2,37,39,0,0,0,0,39
tldr.nettime.org,2,0,3,5,0,1094,272,1366,6,135,95,236,1602
pc.cafe,0,2,0,2,0,51,11,62,0,6,3,9,71
pl22.telteltel.com,0,0,0,0,0,6,9,15,0,0,0,0,15
c7.io,16,0,0,16,0,15,116,131,0,14,173,187,318
social.gould.cx,0,0,0,0,0,0,9,9,0,0,0,0,9
smeap.com,0,0,0,0,0,0,12,12,0,0,0,0,12
mastodon.kohanikin.com,0,0,0,0,0,1,2,3,0,0,0,0,3
untrusted.website,0,0,0,0,0,3,8,11,0,0,0,0,11
social.defenestrate.it,0,0,0,0,1,0,0,1,0,0,7,7,8
social.skbo.net,0,0,0,0,0,1,0,1,0,0,0,0,1
mastodon.dataseal.de,0,0,0,0,0,6,1,7,0,0,0,0,7
ericf.social,0,0,0,0,0,1,3,4,0,0,0,0,4
lake.naru.cafe,0,0,0,0,0,33,2,35,0,0,0,0,35
pixel.infosec.exchange,0,0,0,0,0,1,0,1,0,0,0,0,1
iwatedon.net,0,0,0,0,0,0,1,1,0,0,0,0,1
socially.drinkingatmy.computer,0,0,0,0,29,11,36,76,15,5,33,53,129
masost.one,0,0,0,0,0,8,1,9,0,0,0,0,9
pixelfed.eus,0,0,0,0,0,0,1,1,0,0,0,0,1
1d6.icu,0,0,0,0,1,0,9,10,0,1,3,4,14
mstdn.iroh.tv,0,0,0,0,0,17,78,95,0,1,8,9,104
ferrovipath.es,0,0,0,0,0,0,0,0,0,5,3,8,8
mastodon.einfachmc.de,0,0,0,0,0,0,103,103,0,0,0,0,103
mi.shiromaru.work,0,0,0,0,0,16,6,22,1,0,0,1,23
episcodon.net,0,0,0,0,0,1,4,5,1,0,0,1,6
social.pfzetto.de,0,0,0,0,0,0,1,1,0,1,1,2,3
neenster.org,0,0,0,0,1,0,16,17,1,0,3,4,21
toots.niark.nexus,0,0,0,0,0,3,51,54,0,0,0,0,54
whitelily.blue,0,0,0,0,0,32,32,64,0,0,0,0,64
furnu.org,0,0,0,0,0,0,0,0,0,1,0,1,1
buttplug.zone,2,0,0,2,0,0,0,0,0,3,13,16,16
selenian.space,0,0,0,0,0,1,2,3,0,0,0,0,3
mastodon.lithium03.info,0,0,0,0,0,17,73,90,0,2,5,7,97
802.3ether.net,0,0,0,0,0,0,0,0,0,62,7,69,69
metsubo-jinrai.net,0,1,48,49,0,0,0,0,0,0,0,0,0
mastodon.galileivr.org,1,0,0,1,0,0,0,0,0,0,0,0,0
bearologics.social,0,0,0,0,0,2,4,6,0,1,1,2,8
fedi.seriousbusiness.international,0,1,0,1,0,1,1,2,0,1,2,3,5
hutt.social,0,0,0,0,0,0,1,1,0,0,0,0,1
stansells.org,0,0,0,0,0,24,30,54,0,0,0,0,54
spoonie.community,0,0,1,1,0,10,48,58,0,0,2,2,60
www.foxyhole.io,0,0,0,0,0,14,51,65,0,0,0,0,65
utrera.social,0,0,1,1,0,0,0,0,0,0,0,0,0
greenplenty.social,0,0,0,0,0,3,2,5,0,0,0,0,5
pastafaristes.fr,0,0,0,0,0,11,14,25,0,0,9,9,34
freeradical.zone,19,3,28,50,0,880,2288,3168,2,61,124,187,3355
social.vyvojari.dev,0,0,0,0,0,0,0,0,0,2,0,2,2
mastodon.rym.social,0,0,0,0,0,2,0,2,0,0,1,1,3
akkoma.pikaböl.se,0,0,0,0,0,0,0,0,0,0,4,4,4
91268476.xyz,0,0,0,0,0,12,6,18,0,0,0,0,18
cariad.social,0,0,0,0,0,1,2,3,0,0,0,0,3
fedilove.cyou,0,0,0,0,0,4,35,39,0,0,0,0,39
social.etwg.xyz,0,0,0,0,0,0,9,9,0,0,0,0,9
mastodon.xiweb.de,0,0,0,0,0,1,0,1,0,0,1,1,2
pics.spielenmitlili.com,0,0,0,0,0,0,1,1,0,0,0,0,1
kompost.cz,1,0,0,1,0,5,36,41,0,4,14,18,59
gts.curiouscabbit.social,0,0,0,0,0,1,2,3,0,0,0,0,3
soc.jae.fi,0,0,0,0,0,2,0,2,0,0,0,0,2
pixelfed.babb.no,0,0,0,0,0,0,1,1,0,0,0,0,1
mastodon.chasalin.nl,0,0,1,1,0,157,506,663,1,0,3,4,667
fedi.wersdoerfer.de,0,0,0,0,0,1,1,2,0,0,3,3,5
mastodon.n5h.co,0,0,0,0,0,0,7,7,0,0,0,0,7
furs.town,0,0,0,0,0,0,0,0,0,2,11,13,13
dis.sociat.ing,0,0,0,0,0,0,1,1,0,0,0,0,1
candyuniverse.art,0,0,0,0,0,0,0,0,0,0,36,36,36
fedi.intragon.org,0,0,0,0,0,2,1,3,0,0,0,0,3
social.ovegard.se,0,0,0,0,0,2,0,2,0,0,0,0,2
social.newt.li,0,0,0,0,0,0,162,162,0,0,15,15,177
xn--00w656a.xn--2os22eixx6na.xn--kpry57d,0,0,0,0,0,0,3,3,0,0,0,0,3
social.tree.dance,0,0,0,0,0,0,0,0,0,1,0,1,1
bibletalk.social,5,0,0,5,0,0,0,0,0,0,0,0,0
social.appbakery.ee,0,0,0,0,0,7,10,17,0,0,0,0,17
ra.0lb.be,0,0,0,0,0,1,4,5,0,0,0,0,5
chatt.uvix.cc,0,0,2,2,0,0,0,0,0,0,0,0,0
social.michael-webber.com,0,0,0,0,0,0,2,2,0,0,0,0,2
misskey.8mitsu.net,0,0,0,0,0,5,1,6,0,0,0,0,6
class.lunanova.dev,0,2,8,10,3,1,71,75,0,1,6,7,82
dtg.social,0,0,0,0,0,0,0,0,0,7,7,14,14
plasmatrap.com,0,0,0,0,0,242,288,530,8,0,0,8,538
changelog.social,0,0,0,0,0,0,1,1,0,6,6,12,13
clacks.link,0,1,1,2,0,60,105,165,0,2,9,11,176
florp.social,5,2,13,20,18,8,49,75,5,3,48,56,131
triangletoot.party,4,4,15,23,0,126,290,416,0,3,10,13,429
mast.fslurs.gay,0,0,0,0,0,1,1,2,0,0,0,0,2
gts.lhochet.dev,0,0,0,0,0,0,2,2,0,0,0,0,2
mdft.social,0,0,0,0,0,0,0,0,0,1,0,1,1
smilodon.chatslibres.com,1,0,0,1,0,1,0,1,0,5,10,15,16
sciences.social,10,2,1,13,0,246,574,820,0,38,45,83,903
hubzilla.l-p-d.org,0,0,0,0,0,2,0,2,0,0,0,0,2
mastodon.evolix.org,0,0,0,0,0,3,1,4,0,0,0,0,4
eepy.express,0,0,0,0,0,1,6,7,0,0,0,0,7
mstd.dansmonorage.blue,0,0,0,0,0,0,1,1,0,0,0,0,1
hub.kliklak.net,0,0,0,0,0,5,7,12,0,0,0,0,12
genealysis.social,1,2,3,6,0,57,196,253,0,11,13,24,277
botwerks.social,0,0,0,0,0,1,1,2,0,0,0,0,2
mastodonters.nl,0,0,0,0,0,0,2,2,0,0,0,0,2
mastodon.jhjacobs.nl,0,0,0,0,0,3,3,6,0,0,0,0,6
redmountain.club,0,0,0,0,0,2,1,3,0,0,0,0,3
misskey.sindastra.net,0,0,0,0,0,13,9,22,0,0,0,0,22
mast.ttk.is,0,0,0,0,0,0,1,1,0,0,1,1,2
social.l3wd.com,0,0,0,0,0,0,3,3,0,0,0,0,3
mk.lei202.com,0,0,0,0,0,3,7,10,0,0,0,0,10
melon.blue,0,0,0,0,0,3,9,12,0,0,0,0,12
jollyville.net,0,0,0,0,2,0,6,8,0,0,2,2,10
laserdisc.party,0,0,0,0,0,52,69,121,0,0,0,0,121
shelter.moe,27,29,35,91,0,326,234,560,0,36,57,93,653
coldrick.me.uk,0,0,0,0,0,1,2,3,0,0,0,0,3
pixel.sp-codes.de,0,0,0,0,0,0,2,2,0,0,0,0,2
sind.muede.monster,0,0,0,0,0,0,2,2,0,0,0,0,2
ping.the-planet.space,0,0,0,0,0,4,0,4,0,0,0,0,4
toot.pikopublish.ing,0,0,0,0,0,61,85,146,1,0,0,1,147
derg.zone,0,0,0,0,0,1,0,1,0,0,0,0,1
cobaltkiss.blue,0,0,0,0,0,37,9,46,0,0,0,0,46
tosk.in,0,0,0,0,0,0,1,1,0,0,0,0,1
c.osumiakari.jp,0,0,0,0,0,4,1,5,0,0,0,0,5
nerdfoo.dev,0,0,0,0,0,0,0,0,0,0,5,5,5
scl.kaffeemonster.com,0,0,0,0,0,9,3,12,0,0,0,0,12
basilisk.gallery,0,0,1,1,0,0,4,4,0,2,3,5,9
nonbiridon.hostdon.ne.jp,0,0,0,0,0,0,1,1,0,0,4,4,5
a11y.info,1,0,0,1,0,22,356,378,0,5,35,40,418
its.ryjelsum.me,0,0,0,0,0,2,4,6,0,0,0,0,6
social.authbypass.com,0,0,0,0,0,1,5,6,0,1,3,4,10
talamanca.social,0,0,0,0,0,5,3,8,0,0,0,0,8
fedi.lamer-ethos.site,0,0,0,0,0,0,2,2,0,0,0,0,2
micro.arda.pw,0,0,0,0,0,0,0,0,0,0,1,1,1
social.dsmouse.net,0,0,0,0,0,6,4,10,0,0,6,6,16
namtao.com,0,0,0,0,0,0,0,0,0,1,2,3,3
agilealliance.social,0,0,0,0,0,27,25,52,0,3,9,12,64
ice.floofy.city,0,0,0,0,0,9,19,28,0,0,0,0,28
fedi.marty.tf,0,0,0,0,0,8,70,78,0,0,0,0,78
provo.lol,0,0,0,0,0,0,1,1,0,2,4,6,7
social.undergroundsche.me,0,0,0,0,1,3,6,10,0,0,1,1,11
mathtod.online,0,0,0,0,0,1,7,8,0,0,0,0,8
growers.social,4,0,0,4,0,57,72,129,2,2,11,15,144
friendica.waldstepperbu.de,0,0,0,0,0,3,0,3,0,0,0,0,3
demiboy.gay,0,0,0,0,0,1,5,6,0,0,0,0,6
mastodont.yvees.ovh,0,0,0,0,0,9,4,13,0,0,0,0,13
thevipvipers.space,0,0,0,0,0,0,0,0,0,0,1,1,1
fedi.lawngno.me,0,0,0,0,0,1,0,1,0,0,0,0,1
squidsocial.dontexist.net,0,0,0,0,0,0,1,1,0,0,0,0,1
spujb.masto.host,0,0,0,0,0,54,5,59,0,0,0,0,59
kaartinen.social,0,0,0,0,0,0,1,1,0,0,0,0,1
social.nikkasystems.com,0,0,0,0,0,2,2,4,0,0,0,0,4
mastodon.from-de.com,0,0,0,0,0,1,0,1,0,0,0,0,1
mastodon.grumpfff.fr,0,0,1,1,0,0,0,0,0,0,0,0,0
social.sitedethib.com,0,0,0,0,0,15,5,20,0,0,0,0,20
mastodon.online,2388,1556,2522,6466,0,16447,24666,41113,108,36226,63078,99412,140525
friendica.jb-net.us,0,0,0,0,0,0,0,0,0,0,4,4,4
social.jstsmthrgk.eu,0,0,0,0,0,2,0,2,0,0,0,0,2
not.an.evilcyberhacker.net,0,0,0,0,0,60,102,162,1,0,0,1,163
social.openearth.org,0,0,0,0,0,0,0,0,0,3,3,6,6
b612.me,0,0,0,0,0,0,7,7,0,0,0,0,7
julianjulian.moe,0,0,0,0,0,0,1,1,0,0,0,0,1
cyberplace.social,5,1,5,11,0,254,920,1174,5,58,179,242,1416
thias.hellqui.st,0,0,0,0,1,5,4,10,0,4,7,11,21
gyutte.site,0,0,0,0,0,5,25,30,0,0,0,0,30
toots.tylerdavis.xyz,0,0,0,0,0,8,2,10,2,0,0,2,12
fedi.ctu.cx,0,0,0,0,0,0,4,4,0,0,0,0,4
mstdn.asterism.xyz,2,0,0,2,0,0,6,6,0,7,25,32,38
social.minbash.de,0,0,0,0,1,0,1,2,0,0,0,0,2
toot.re,0,0,0,0,0,35,29,64,0,0,2,2,66
mainburg.hallertau.social,1,0,0,1,0,11,9,20,0,0,0,0,20
social.spicyweb.dev,0,0,0,0,0,2,0,2,0,0,1,1,3
mastodon.bida.im,8,23,16,47,0,238,210,448,1,139,128,268,716
skrivel.se,0,0,0,0,0,0,3,3,0,0,2,2,5
interlace.space,0,0,0,0,0,0,5,5,0,0,0,0,5
az.social,0,1,2,3,0,7,8,15,0,0,1,1,16
weird.autos,6,20,52,78,0,132,329,461,0,34,97,131,592
nachklang.net,13,0,0,13,0,0,20,20,0,21,72,93,113
ak.kazuma.family,1,0,0,1,6,10,4,20,1,0,10,11,31
ff.lapy.link,0,0,0,0,0,0,2,2,0,0,0,0,2
social.nerd.net,0,0,0,0,0,0,16,16,0,0,0,0,16
forestodon.com,0,0,3,3,0,0,0,0,0,0,1,1,1
sorcie.re,0,0,0,0,0,4,8,12,0,0,0,0,12
infosec.exchange,870,3821,12097,16788,0,11250,23698,34948,113,29960,54352,84425,119373
toots.dgplug.org,1,0,0,1,0,58,46,104,0,0,1,1,105
tusky.town,0,0,0,0,0,1,7,8,0,1,5,6,14
rattodon.nexus,0,0,0,0,0,3,0,3,0,2,6,8,11
nekocave.xyz,0,0,0,0,0,0,0,0,1,0,0,1,1
kb.kurotanesou.online,0,0,0,0,0,7,15,22,0,0,0,0,22
mastodon.anesthetizeme.net,0,0,0,0,0,0,2,2,0,0,0,0,2
gts.plexwave.org,0,0,0,0,0,1,0,1,0,0,0,0,1
schafweide.eu,0,0,0,0,0,116,249,365,0,2,9,11,376
Pertsch.social,0,0,0,0,0,21,21,42,0,0,0,0,42
rebel.ar,3,1,17,21,0,45,277,322,7,0,7,14,336
freeflow.dananglin.me.uk,0,0,0,0,0,0,1,1,0,0,0,0,1
friendica.me,0,0,0,0,0,35,4,39,0,0,0,0,39
mastodon.familleboisteau.fr,0,0,0,0,0,1,0,1,0,0,0,0,1
mastodon.starnet.cz,0,0,0,0,0,1,5,6,0,0,1,1,7
onlyfranz.com,0,0,0,0,0,17,6,23,0,0,0,0,23
awawa.cat,0,0,0,0,1,0,0,1,0,0,0,0,1
otr.rocks,0,0,0,0,1,0,0,1,0,1,1,2,3
tacocat.space,0,0,0,0,0,281,1,282,0,0,0,0,282
fedi.mvpgame.dev,0,0,0,0,0,39,31,70,0,0,0,0,70
fedi.j1nk4l.com,0,0,0,0,0,1,27,28,0,0,0,0,28
akk.de-lacom.be,0,0,0,0,0,4,13,17,0,0,0,0,17
mastodon.nexusuk.org,0,0,0,0,0,0,0,0,0,3,5,8,8
cathode.church,0,0,0,0,0,89,415,504,2,0,0,2,506
social.joelle.us,1,0,0,1,0,1,6,7,3,480,819,1302,1309
mstdn-amadeus.tech,0,0,0,0,0,0,5,5,0,0,0,0,5
mastodon.testausserveri.fi,0,0,0,0,0,0,12,12,0,0,0,0,12
tosenberg.de,0,0,0,0,0,1,8,9,0,1,9,10,19
mustardon.tokyo,0,0,0,0,0,0,2,2,0,3,13,16,18
cho.yukiya.me,0,0,0,0,0,1,1,2,0,0,1,1,3
subdued.social,10,0,0,10,0,3,38,41,0,0,5,5,46
bots.fedi.cr,0,0,0,0,0,0,0,0,0,0,5,5,5
h4.io,0,0,0,0,0,234,274,508,1,1,8,10,518
m.vlekken.net,0,0,0,0,0,0,1,1,0,0,0,0,1
mastodon.bierschutzpartei.de,0,0,0,0,0,1,2,3,0,0,0,0,3
poofion.com,6,0,0,6,0,0,0,0,0,0,0,0,0
chaotic.fun,0,0,0,0,0,47,176,223,0,0,0,0,223
genau.qwertqwefsday.eu,0,0,0,0,0,0,1,1,1,0,0,1,2
nyanya.net,0,0,1,1,0,0,0,0,0,1,4,5,5
anakmanis.com,0,0,0,0,0,4,5,9,0,0,0,0,9
retrogaming.social,0,0,1,1,0,4,31,35,0,0,1,1,36
masto.2tonwaffle.com,1,0,0,1,0,1,0,1,0,2,4,6,7
lea.lgbt,0,0,0,0,0,20,26,46,0,0,0,0,46
tootbot.org,0,0,0,0,0,2,2,4,0,0,0,0,4
bytearray.eu,0,0,0,0,0,1,37,38,0,0,9,9,47
fikaverse.club,1,0,0,1,0,16,13,29,0,2,2,4,33
colter.social,0,2,1,3,0,9,2,11,0,25,11,36,47
mendeddrum.org,0,0,0,0,0,207,941,1148,1,0,0,1,1149
mastodon.net2o.de,0,0,0,0,0,59,338,397,0,0,1,1,398
social.treehouse.systems,0,0,0,0,0,713,1767,2480,11,0,0,11,2491
misskey.shinaaamo.com,0,0,0,0,0,1,0,1,0,0,0,0,1
m.thibau.lt,0,0,0,0,0,1,3,4,0,0,1,1,5
kjas.no,0,0,0,0,0,2,2,4,0,0,0,0,4
social2.ganyuss.com,0,0,0,0,0,2,19,21,0,0,0,0,21
eupolicy.social,0,0,0,0,0,267,507,774,1,0,0,1,775
mastodon.macsnet.cz,0,0,0,0,0,0,27,27,0,0,0,0,27
social.guckt.info,0,0,0,0,0,2,1,3,0,0,0,0,3
lizards.live,0,0,0,0,0,8,12,20,38,0,0,38,58
calckey.anzui.dev,0,0,0,0,0,0,2,2,0,0,0,0,2
piraten-partei.social,5,8,5,18,0,26,46,72,0,12,18,30,102
elekk.xyz,18,1,19,38,0,35,110,145,0,7,40,47,192
mstdn.home.neso.tech,1,0,0,1,0,12,26,38,0,0,0,0,38
social.pifferi.io,0,0,0,0,0,4,43,47,0,1,4,5,52
fedia.io,0,0,0,0,0,15,70,85,0,0,0,0,85
s.catbaron.com,0,0,0,0,0,0,1,1,0,0,0,0,1
mastodon.wg0.xyz,0,0,0,0,0,0,0,0,0,1,0,1,1
social.gfsc.studio,2,0,0,2,0,2,18,20,0,0,4,4,24
mstdn.myifn.de,0,0,1,1,0,0,4,4,0,0,0,0,4
catnest.net,0,0,0,0,0,0,2,2,0,0,2,2,4
official.resource.org,0,0,0,0,0,4,10,14,0,11,4,15,29
frameperfect.space,0,0,0,0,0,2,1,3,0,0,0,0,3
va-11-hall-a.cafe,0,0,0,0,0,2,2,4,0,0,0,0,4
hypno.social,0,0,0,0,0,0,7,7,0,0,0,0,7
masto.nu,0,0,0,0,0,240,310,550,0,11,11,22,572
miscreants.party,0,0,0,0,0,2,4,6,0,1,2,3,9
social.dolphin-emu.org,0,0,0,0,0,0,0,0,0,32,72,104,104
mstdn.ca,1385,1922,3533,6840,3440,5833,10016,19289,7,9487,18759,28253,47542
cutie.city,0,0,2,2,0,97,579,676,3,0,30,33,709
misskey-square.net,0,0,0,0,0,6,35,41,0,0,0,0,41
progressivecafe.social,0,0,0,0,0,130,126,256,4,0,0,4,260
pureheart.page,0,0,0,0,0,5,13,18,0,0,0,0,18
ramshackle.town,0,0,0,0,0,0,1,1,0,0,0,0,1
urbanists.social,19,18,56,93,0,1727,2803,4530,8,348,737,1093,5623
slon.jmq.cz,0,0,0,0,2,1,7,10,0,0,1,1,11
reptar.bar,0,0,0,0,0,0,0,0,0,1,1,2,2
diaspora.glasswings.com,0,0,0,0,0,0,13,13,0,0,0,0,13
chattrbx.com,2,1,249,252,0,89,1402,1491,0,21,46,67,1558
alcove.website,0,0,0,0,0,1,24,25,0,0,0,0,25
social.entan.gl,0,0,0,0,0,4,27,31,0,0,0,0,31
mastodon.me.uk,25,17,50,92,0,1285,1922,3207,11,80,274,365,3572
social.fabienphoto.eu,0,0,0,0,2,6,5,13,0,0,1,1,14
toot.kottman.xyz,0,0,0,0,0,7,20,27,0,0,0,0,27
misskey.yancya.club,0,0,0,0,0,0,1,1,0,0,0,0,1
bonequest.net,3,0,0,3,0,30,65,95,0,2,12,14,109
mastodon.dragonbox.de,0,0,0,0,0,0,0,0,0,5,3,8,8
mastodon.insa.lol,0,0,0,0,0,0,1,1,0,0,0,0,1
mastodon.crazynewworld.net,29,4,5,38,0,0,1,1,0,25,13,38,39
cuteferret.party,0,0,0,0,0,0,1,1,0,2,6,8,9
snoot.tube,0,0,0,0,0,6,162,168,0,0,0,0,168
pl.eragon.re,0,0,0,0,0,134,16,150,0,0,0,0,150
wellesley100.masto.host,1,0,1,2,0,0,0,0,0,1,0,1,1
the.gayest.dev,0,0,0,0,0,29,6,35,0,0,0,0,35
ferretfrizz.biz,0,0,0,0,0,1,10,11,0,0,0,0,11
hkgk.nishi.boats,0,0,0,0,0,4,0,4,0,0,0,0,4
misskey.sweshelo.jp,1,0,0,1,0,1,0,1,0,0,0,0,1
sparkly.uni.horse,0,0,0,0,0,0,66,66,0,0,0,0,66
pie.gd,0,0,0,0,0,0,11,11,0,2,8,10,21
toot.furry.industries,0,0,0,0,0,0,5,5,0,0,0,0,5
feed.hella.cheap,0,0,0,0,0,4,29,33,0,0,0,0,33
mstdn.paparasitic.com,0,0,0,0,0,5,2,7,0,1,0,1,8
haunted.locker,0,0,0,0,0,3,4,7,0,0,0,0,7
brunty.social,0,0,0,0,0,4,6,10,0,0,4,4,14
respublicae.eu,0,0,0,0,0,0,0,0,0,334,395,729,729
plaza.vaporpolis.net,0,0,0,0,1,0,2,3,0,0,1,1,4
very.tastytea.de,0,0,0,0,0,0,64,64,0,0,0,0,64
gochisou.photo,0,2,8,10,0,29,44,73,0,2,19,21,94
smol.boo,0,0,0,0,0,0,1,1,0,0,0,0,1
battleangels.net,0,0,0,0,0,0,3,3,0,0,1,1,4
social.teia.bio.br,0,0,0,0,4,11,21,36,0,5,8,13,49
uvix.cc,0,0,0,0,0,2,7,9,0,0,0,0,9
hostux.social,9,0,3,12,0,1414,1939,3353,5,125,201,331,3684
mas.gordons.gen.nz,0,0,0,0,0,0,3,3,0,0,0,0,3
queerspirituality.social,1,0,0,1,0,4,26,30,0,1,0,1,31
m11.t8n.dev,0,0,0,0,0,0,2,2,0,0,0,0,2
coatl.iztacala.unam.mx,0,0,0,0,0,1,0,1,0,0,1,1,2
mitra.taihou.website,0,0,0,0,0,67,112,179,62,0,0,62,241
mastodon.infinitybeardesigns.com,0,0,0,0,0,0,16,16,0,3,3,6,22
gts.flauschbereich.de,0,0,0,0,0,1,0,1,0,0,0,0,1
mastodon.delroth.net,1,0,0,1,0,2,1,3,0,9,40,49,52
flauschhausen.de,0,0,0,0,0,0,2,2,0,0,0,0,2
gaypirates.club,0,0,0,0,0,96,112,208,1,0,0,1,209
fgc.network,0,0,0,0,0,3,12,15,0,0,0,0,15
wehavecookies.social,0,0,0,0,0,334,595,929,1,5,30,36,965
catgirls.technology,0,0,0,0,0,2,3,5,0,0,0,0,5
social.adamperfect.com,0,0,0,0,0,1,14,15,0,0,0,0,15
djs.social,0,0,0,0,0,4,2,6,0,4,0,4,10
social.davesnider.com,1,0,0,1,0,0,0,0,0,0,8,8,8
social.hodgson.io,0,0,0,0,0,13,0,13,1,0,0,1,14
drizzle-damp.net,0,5,30,35,0,7,74,81,0,2,12,14,95
waha.work,0,0,0,0,0,10,14,24,0,0,0,0,24
