发起实例,目标实例,互动次数
social.yukinobu.jp,social.yukinobu.jp,2
manganiello.social,eupolicy.social,1
mastodon.kkhys.me,mastodon.kkhys.me,3
copland.social,copland.social,1
olifant.fi,olifant.fi,2
social.linux-magazin.de,social.linux-magazin.de,1
m.gravitystorm.co.uk,m.gravitystorm.co.uk,1
chaos-gp.social,chaos-gp.social,1
pleroma.al45tair.net,mastodon.social,2
precise.space,precise.space,1
mast.wangwood.house,mast.wangwood.house,1
satzfetzen.de,photog.social,1
social.zacstraub.com,social.zacstraub.com,1
social.undergroundsche.me,friend.camp,1
mstdn.thymefield.jp,mstdn.thymefield.jp,1
akko.drgn.gay,akko.drgn.gay,1
pleroma.1of444.top,mathstodon.xyz,1
gotf.at,mastodon.art,14
obeya.social,obeya.social,1
post.hecanjog.com,post.hecanjog.com,2
enby.army,infosec.exchange,1
mastodon.abou-samra.fr,mastodon.abou-samra.fr,2
social.3delights.store,social.3delights.store,3
motley.club,motley.club,1
f.lapo.it,mastodon.bsd.cafe,2
friendica.ca,mastodon.social,1
mastodon.scot,mastodon.scot,2714
mastodon.gamedev.place,mastodon.gamedev.place,2669
mastodon.green,mastodon.green,173
g0v.social,g0v.social,2070
wetdry.world,wetdry.world,2496
mastodon.nl,mastodon.nl,4787
fedi.absturztau.be,mai.waifuism.life,4
masto.es,masto.es,2511
blob.cat,blob.cat,51
berlin.social,berlin.social,99
journa.host,journa.host,31
masto.bike,masto.bike,226
mastodon.radio,mastodon.radio,124
dju.social,dju.social,9
floofy.tech,wetdry.world,90
quokka.city,quokka.city,6212
yourwalls.today,retro.social,2
yourwalls.today,woem.space,1
news.hostdon.ne.jp,news.hostdon.ne.jp,157
yourwalls.today,brain.worm.pink,40
learnk8s.news,learnk8s.news,16
pleroma.m68k.church,infosec.exchange,5
pleroma.m68k.church,hachyderm.io,1
fedi.munir.tokyo,ak.kyaruc.moe,1
misskey.osyakasyama.me,misskey.osyakasyama.me,1
misskey.io,misskey.io,8
mstdn.kemono-friends.info,mstdn.kemono-friends.info,36
vtdon.com,vtdon.com,5
pao.moe,pao.moe,4
social.matarillo.com,social.matarillo.com,3
aus.social,aus.social,8422
mastodon.uno,mastodon.uno,5368
pawb.fun,pawb.fun,15
gearlandia.haus,sacred.harpy.faith,1
mstdn.ca,indieweb.social,25
thicc.horse,thicc.horse,58
decayable.ink,decayable.ink,656
clew.lol,shota.house,4
clew.lol,yourwalls.today,2
minohdon.jp,minohdon.jp,3
fedi.getimiskon.xyz,snug.moe,1
kamu.social,kamu.social,3
social.applied-langua.ge,social.applied-langua.ge,12
mstdn.social,mstdn.social,18857
social.wastedalpaca.wtf,social.wastedalpaca.wtf,1
infosec.exchange,infosec.exchange,16788
mastodon-japan.net,mastodon-japan.net,11458
social.mikutter.hachune.net,social.mikutter.hachune.net,1112
masto.ink,masto.ink,244
plushies.social,plushies.social,73
www.gctaisentl.com,www.gctaisentl.com,5
wxw.moe,wxw.moe,21740
pawoo.net,pawoo.net,13821
vocalodon.net,vocalodon.net,3040
beige.party,beige.party,6142
varishangout.net,varishangout.net,6478
clew.lol,girlboss.gaslight.love,18
freesoftwareextremist.com,freesoftwareextremist.com,26
freesoftwareextremist.com,shitposter.world,15
kmy.blue,kmy.blue,179
arff.archandle.net,meow.social,1
arff.archandle.net,arff.archandle.net,3
m.eula.dev,m.eula.dev,2
misskey.cannorin.net,misskey.cannorin.net,1
misskey.haun.jp,misskey.haun.jp,1
mstdn.yurutan.net,mstdn.yurutan.net,2
mas.to,mas.to,6351
glaceon.social,glaceon.social,55
rubber.social,rubber.social,100
social.bim.land,social.bim.land,2
higgy.social,higgy.social,1
schmaker.eu,mastodonczech.cz,5
schmaker.eu,schmaker.eu,1
mastodon.online,mastodon.online,6466
godforsaken.website,godforsaken.website,14
chaosfem.tw,disabled.social,1
chaosfem.tw,kolektiva.social,9
chaosfem.tw,beige.party,96
chaosfem.tw,social.treehouse.systems,2
chaosfem.tw,mastodon.social,562
chaosfem.tw,queer.group,1
chaosfem.tw,journa.host,4
chaosfem.tw,dobbs.town,4
chaosfem.tw,dice.camp,67
chaosfem.tw,chaosfem.tw,214
chaosfem.tw,hellspawn.gay,3
mefi.social,mefi.social,20
social.xenofem.me,social.xenofem.me,717
social.xenofem.me,brain.worm.pink,49
detroitriotcity.com,mostr.pub,4
detroitriotcity.com,poa.st,64
idtech.space,idtech.space,3
idtech.space,meow.social,1
mastodon.triggerphra.se,mastodon.triggerphra.se,2
jorts.horse,jorts.horse,329
ottawa.place,ottawa.place,10
girlboss.gaslight.love,cawfee.club,3
girlboss.gaslight.love,ebiverse.social,10
girlboss.gaslight.love,clubcyberia.co,6
o3o.ca,o3o.ca,4853
chaosfem.tw,hachyderm.io,143
nixeneko.info,nixeneko.info,2
spinster.xyz,alive.bar,3
computerfairi.es,computerfairi.es,4
socially.drinkingatmy.computer,clubcyberia.co,3
detroitriotcity.com,yggdrasil.social,3
stoat.zone,stoat.zone,4
socially.drinkingatmy.computer,shitpost.cloud,2
socially.drinkingatmy.computer,mitra.taihou.website,2
mastodon.world,mastodon.world,4482
hachyderm.io,hachyderm.io,3481
clew.lol,poa.st,64
mastodonczech.cz,mastodonczech.cz,278
ak.ari.lt,wetdry.world,13
ak.ari.lt,sk.unix.dog,3
mastodonapp.uk,mastodonapp.uk,1118
universeodon.com,universeodon.com,2972
m.ai6yr.org,m.ai6yr.org,371
me.dm,me.dm,24
eientei.org,eientei.org,65
eientei.org,varishangout.net,7
eientei.org,clubcyberia.co,66
troet.cafe,troet.cafe,28416
techpolicy.social,techpolicy.social,3
onlinedo.alcateia.info,onlinedo.alcateia.info,2
ak.kazuma.family,ak.kazuma.family,1
ak.kazuma.family,outerheaven.club,3
ak.kazuma.family,mewmew.moe,1
newsie.social,newsie.social,138
zirk.us,zirk.us,78
shitposter.world,norwoodzero.net,14
climatejustice.social,climatejustice.social,116
shitposter.world,poa.st,40
shitposter.world,shitposter.world,490
shitposter.world,declin.eu,2
shitposter.world,fedi.layer02.net,8
shitposter.world,nicecrew.digital,23
shitposter.world,mk.absturztau.be,1
shitposter.world,pl.kotobank.ch,1
shitposter.world,mai.waifuism.life,5
shitposter.world,cawfee.club,7
shitposter.world,clubcyberia.co,18
pol.social,pol.social,109
shitposter.world,fedi.furfag.biz,18
mastodon.de,ard.social,7
mastodon.de,sfba.social,19
mastodon.de,beige.party,8
mastodon.de,mastodon.de,44
mastodon.de,social.v.st,1
mastodon.de,mastodon.nz,3
netzsphaere.xyz,cawfee.club,4
netzsphaere.xyz,netzsphaere.xyz,402
netzsphaere.xyz,brain.worm.pink,32
netzsphaere.xyz,fedi.layer02.net,10
shitpost.cloud,poa.st,43
shitpost.cloud,nicecrew.digital,19
netzsphaere.xyz,girlboss.gaslight.love,177
fedi.sillybiz.xyz,fedi.sillybiz.xyz,2
ioc.exchange,ioc.exchange,31
trombas.vost.pt,trombas.vost.pt,1
soc.feditime.com,io.mwl.io,2
spinster.xyz,freeatlantis.com,4
ohai.social,ohai.social,178
retro.pizza,retro.pizza,589
decayable.ink,poa.st,245
genealysis.social,genealysis.social,6
c.im,c.im,445
mastodon.top,mastodon.top,222
freeradical.zone,freeradical.zone,50
mastodonsweden.se,mastodonsweden.se,98
trpg-o.xyz,trpg-o.xyz,105
netzsphaere.xyz,freeatlantis.com,2
mastodon.antisocial.science,mastodon.antisocial.science,1
botany.social,botany.social,9
dica.interfel.de,mstdn.social,1
dica.interfel.de,www.thenewsocial.de,1
fedi.5013.es,fedi.5013.es,1
mamuti.ieleja.lv,mamuti.ieleja.lv,6
interledger.social,interledger.social,1
masto.ai,masto.ai,304
social.coop,social.coop,127
hessen.social,hessen.social,153
ursal.zone,ursal.zone,620
chaosfem.tw,masto.ai,22
wank.social,wank.social,544
detroitriotcity.com,nicecrew.digital,27
social.silicon.moe,social.silicon.moe,6
social.stefanberger.net,social.stefanberger.net,2
imastodon.net,imastodon.net,1347
planet.moe,planet.moe,4371
peoplemaking.games,peoplemaking.games,17
blob.love,blob.love,9
mathstodon.xyz,mathstodon.xyz,409
social.lol,social.lol,512
zug.network,zug.network,535
veoh.social,veoh.social,1
unfug.social,unfug.social,3
salmonjerky.net,salmonjerky.net,1
mastodon.white-void.net,mastodon.white-void.net,3
ms.obak-key.com,ms.obak-key.com,7
flipping.rocks,flipping.rocks,45
submarin.online,submarin.online,18
misskey.peruki.dev,misskey.peruki.dev,1
ma.fono.jp,ma.fono.jp,2
mastodon.crazynewworld.net,mastodon.crazynewworld.net,38
mstdn.ca,follow.ethanmarcotte.com,1
mstdn.ca,mstdn.ca,6840
mstdn.ca,mstdn.ryanrobinson.ca,2
mstdn.ca,mastodon.social,7139
mstdn.ca,bsky.brid.gy,8
greenish.red,lor.sh,1
greenish.red,linuxrocks.online,2
mamot.fr,mamot.fr,3848
social.vivaldi.net,social.vivaldi.net,15522
toot.community,toot.community,20
paquita.masto.host,paquita.masto.host,1189
blorbo.social,blorbo.social,1432
rivals.space,rivals.space,150
social.openrightsgroup.org,social.openrightsgroup.org,5
crossdon.com,crossdon.com,9
mstdn.poyo.me,mstdn.poyo.me,14
mstdn.plusminus.io,mstdn.plusminus.io,2
lotuskey.net,lotuskey.net,3
ukadon.shillest.net,ukadon.shillest.net,116
