发起实例,目标实例,互动次数
digitalcourage.social,reporter.social,3
mstdn.social,reporter.social,1
hachyderm.io,mastodon.akhepcat.com,2
norden.social,mastodon.akhepcat.com,1
merveilles.town,mastodon.akhepcat.com,1
mastodon.social,mastodon.akhepcat.com,5
med-mastodon.com,mastodon.akhepcat.com,1
mastodon.online,mastodon.akhepcat.com,1
mastodon.world,mastodon.akhepcat.com,2
mastodon.social,zdf.social,6
ruhr.social,zdf.social,1
mastodontech.de,zdf.social,1
norden.social,zdf.social,7
mastodon.online,zdf.social,4
troet.cafe,zdf.social,3
nrw.social,zdf.social,2
electroverse.tech,zdf.social,1
bsky.brid.gy,zdf.social,1
fosstodon.org,zdf.social,1
mastodon.art,zdf.social,1
mstdn.social,zdf.social,1
alive.bar,zdf.social,1
fnordon.de,zdf.social,1
darmstadt.social,zdf.social,1
sphere.fx4.net,sphere.fx4.net,3
toot.cat,sphere.fx4.net,1
disabled.social,sphere.fx4.net,1
chaos.social,sphere.fx4.net,1
techhub.social,sphere.fx4.net,1
discuss.systems,sphere.fx4.net,1
okla.social,sphere.fx4.net,1
kind.social,sphere.fx4.net,1
mstdn.social,sphere.fx4.net,2
masto.es,sphere.fx4.net,1
mastodon.social,sphere.fx4.net,3
universeodon.com,sphere.fx4.net,2
mastodon.design,sphere.fx4.net,1
tech.lgbt,sphere.fx4.net,1
theblower.au,sphere.fx4.net,1
masto.ai,sphere.fx4.net,1
ohai.social,sphere.fx4.net,1
mastodon.art,sphere.fx4.net,2
sunny.garden,sphere.fx4.net,2
mastodon.nz,sphere.fx4.net,1
twit.social,sphere.fx4.net,1
mas.to,sphere.fx4.net,1
beige.party,sphere.fx4.net,1
pounced-on.me,driveinsaturday.org,2
ichinyo.site,ichinyo.site,2
soc.feditime.com,jauntygoat.net,1
awscommunity.social,jauntygoat.net,1
jauntygoat.net,jauntygoat.net,1
jir.moe,jir.moe,6
social.net.ua,lviv.social,2
twiukraine.com,lviv.social,2
social.kyiv.dcomm.net.ua,lviv.social,1
mastodon.knightpp.cc,lviv.social,1
shkey.cakestwix.com,lviv.social,1
bne.social,strangeplace.me,2
fosstodon.org,rstats.me,1
mastodon.social,rstats.me,1
mastodon.online,agilealliance.social,2
hachyderm.io,agilealliance.social,2
mastodon.beer,agilealliance.social,2
mastodon.social,mastodon-elestio-u1962.vm.elestio.app,2
sunny.garden,astral.camp,1
theblower.au,astral.camp,1
universeodon.com,astral.camp,3
peoplemaking.games,astral.camp,1
mastodon.social,astral.camp,9
fosstodon.org,astral.camp,2
mastodon.world,astral.camp,2
mastodon.gamedev.place,astral.camp,1
aus.social,astral.camp,1
med-mastodon.com,astral.camp,1
mastodon.online,astral.camp,2
newsie.social,astral.camp,1
c.im,astral.camp,1
techhub.social,astral.camp,1
dice.camp,astral.camp,3
sakurajima.moe,astral.camp,1
sfba.social,astral.camp,2
exile.social,astral.camp,1
kind.social,astral.camp,1
mas.to,astral.camp,1
mstdn.social,astral.camp,1
toot.cat,astral.camp,1
goto.coiloptic.org,astral.camp,1
bsd.network,astral.camp,1
beige.party,astral.camp,2
retro.pizza,astral.camp,1
mastodon.nz,astral.camp,1
wandering.shop,astral.camp,1
ecoevo.social,astral.camp,1
icosahedron.website,astral.camp,1
ohai.social,astral.camp,2
indieweb.social,astral.camp,1
neuromatch.social,astral.camp,1
lgbtqia.space,astral.camp,1
dotnet.social,astral.camp,1
tvwatch.party,astral.camp,1
mastodon.hardcoredevs.com,astral.camp,1
astral.camp,astral.camp,2
masto.ai,astral.camp,1
fe.disroot.org,astral.camp,1
vmst.io,astral.camp,1
eightpoint.app,astral.camp,1
teh.entar.net,astral.camp,1
hachyderm.io,astral.camp,1
mementomori.social,sauna.social,1
mastodontti.fi,sauna.social,1
tinnies.club,tinnies.club,3
social.yearg.in,tinnies.club,1
masto.ai,social.hardlimit.com,2
genserver.social,genserver.social,2
mspsocial.net,mastodon.neilzone.co.uk,1
toot.community,mastodon.neilzone.co.uk,3
toot.wales,mastodon.neilzone.co.uk,2
eigenmagic.net,mastodon.neilzone.co.uk,1
ngmx.com,mastodon.neilzone.co.uk,2
managingengineers.net,mastodon.neilzone.co.uk,1
cyberplace.social,mastodon.neilzone.co.uk,2
bsd.network,mastodon.neilzone.co.uk,4
twoot.site,mastodon.neilzone.co.uk,2
mastodon.social,mastodon.neilzone.co.uk,87
cloudisland.nz,mastodon.neilzone.co.uk,1
mastodon.nz,mastodon.neilzone.co.uk,1
alpha.polymaths.social,mastodon.neilzone.co.uk,1
masto.ai,mastodon.neilzone.co.uk,2
social.anoxinon.de,mastodon.neilzone.co.uk,1
fosstodon.org,mastodon.neilzone.co.uk,8
o3o.ca,ciecuo.club,1
troet.cafe,medic.cafe,4
hessen.social,medic.cafe,1
social.tchncs.de,medic.cafe,1
krefeld.life,medic.cafe,1
chaos.social,medic.cafe,1
dresden.network,medic.cafe,1
mstdn.social,medic.cafe,1
digitalcourage.social,medic.cafe,1
procial.tchncs.de,social.wastedalpaca.wtf,1
chaos.social,social.wastedalpaca.wtf,5
norden.social,social.wastedalpaca.wtf,1
mastodon.social,social.wastedalpaca.wtf,1
octodon.social,thesnakepostoffice.online,1
chaosfem.tw,thesnakepostoffice.online,1
tvwatch.party,thesnakepostoffice.online,2
eigenmagic.net,thesnakepostoffice.online,1
glaceon.social,thesnakepostoffice.online,1
chaos.social,thesnakepostoffice.online,2
bigshoulders.city,thesnakepostoffice.online,1
queer.party,thesnakepostoffice.online,1
blob.coffee,thesnakepostoffice.online,1
garrison.su,thesnakepostoffice.online,1
dads.cool,thesnakepostoffice.online,1
history.lol,thesnakepostoffice.online,1
happytobehe.re,thesnakepostoffice.online,1
